COUNTRY,DATATYPE,PRODUCT,FLOW,TIME,VALUE
OECDTOT,BALANCE,TOTPRODS,GDINCTRO,SEP2022,17289.537
OECDTOT,BALANCE,TOTPRODS,GDINCTRO,YTD2021,1329750.206
OECDTOT,BALANCE,TOTPRODS,GDINCTRO,YTD2022,1244047.705
OECDTOT,BALANCE,TOTPRODS,IPTRANSF,2021,0.0
OECDTOT,BALANCE,TOTPRODS,IPTRANSF,YTD2021,0.0
OECDTOT,BALANCE,TOTPRODS,IPTRANSF,YTD2022,0.0
OECDTOT,BALANCE,TOTPRODS,OSNATTER,2020,233182.353
OECDTOT,BALANCE,TOTPRODS,OSNATTER,2021,212852.221
OECDTOT,BALANCE,TOTPRODS,OSNATTER,1Q2022,203668.95
OECDTOT,BALANCE,TOTPRODS,OSNATTER,2Q2022,198408.713
OECDTOT,BALANCE,TOTPRODS,OSNATTER,3Q2022,198639.911
OECDTOT,BALANCE,TOTPRODS,OSNATTER,4Q2021,206149.905
OECDTOT,BALANCE,TOTPRODS,OSNATTER,SEP2021,215080.291
OECDTOT,BALANCE,TOTPRODS,OSNATTER,SEP2022,17060.834
OECDTOT,BALANCE,TOTPRODS,PPRECPTS,2020,253407.604
OECDTOT,BALANCE,TOTPRODS,PPRECPTS,2021,259179.77
OECDTOT,BALANCE,TOTPRODS,PPRECPTS,3Q2022,50553.3
OECDTOT,BALANCE,TOTPRODS,PPRECPTS,SEP2021,21438.063
OECDTOT,BALANCE,TOTPRODS,PPRECPTS,SEP2022,2741.168
OECDTOT,BALANCE,TOTPRODS,PPRECPTS,YTD2021,191197.846
OECDTOT,BALANCE,TOTPRODS,PPRECPTS,YTD2022,183564.002
OECDTOT,BALANCE,TOTPRODS,PTRANSF,2020,60489.094
OECDTOT,BALANCE,TOTPRODS,PTRANSF,2021,65915.309
OECDTOT,BALANCE,TOTPRODS,PTRANSF,3Q2022,14551.667
OECDTOT,BALANCE,TOTPRODS,PTRANSF,SEP2021,5247.407
OECDTOT,BALANCE,TOTPRODS,PTRANSF,SEP2022,2841.039
OECDTOT,BALANCE,TOTPRODS,PTRANSF,YTD2021,48978.292
OECDTOT,BALANCE,TOTPRODS,PTRANSF,YTD2022,46994.636
OECDTOT,BALANCE,TOTPRODS,RECYCLED,2020,1742.54
OECDTOT,BALANCE,TOTPRODS,RECYCLED,2021,1705.369
OECDTOT,BALANCE,TOTPRODS,RECYCLED,3Q2022,265.387
OECDTOT,BALANCE,TOTPRODS,RECYCLED,SEP2021,71.46
OECDTOT,BALANCE,TOTPRODS,RECYCLED,SEP2022,32.905
OECDTOT,BALANCE,TOTPRODS,RECYCLED,YTD2021,1386.288
OECDTOT,BALANCE,TOTPRODS,RECYCLED,YTD2022,936.834
OECDTOT,BALANCE,TOTPRODS,REFFUEL,2020,73765.519
OECDTOT,BALANCE,TOTPRODS,REFFUEL,2021,76448.857
OECDTOT,BALANCE,TOTPRODS,REFFUEL,3Q2022,14518.881
OECDTOT,BALANCE,TOTPRODS,REFFUEL,SEP2021,6314.806
OECDTOT,BALANCE,TOTPRODS,REFFUEL,SEP2022,634.148
